"","fullname","new_fullname","family","order","IOC_seq","family_clements","order_clements"
"56","Buteo sp NA","Buteo sp","Accipitridae","Falconiformes",NA,NA,NA
"57","Empidonax sp NA","Empidonax sp","Tyrannidae","Passeriformes",NA,NA,NA
"58","Amazilia viridifrons NA","Ramosomyia viridifrons","Trochilidae","Apodiformes",NA,NA,NA
"59","Himantopus melanurus NA","Himantopus himantopus melanurus","Recurvirostridae","Charadriiformes",NA,NA,NA
"60","Zoothera kibalensis NA","Geokichla camaronensis kibalensis","Muscicapidae","Passeriformes",NA,NA,NA
"61","Garrulax sp NA","Pterorhinus sp","Muscicapidae","Passeriformes",NA,NA,NA
"62","Palaeocorax moriorum NA","Palaeocorax moriorum","Corvidae","Passeriformes",NA,NA,NA
"63","Cyanolyca sp NA","Cyanolyca sp","Corvidae","Passeriformes",NA,NA,NA
"64","Lepidocolaptes sp NA","Lepidocolaptes sp","Dendrocolaptidae","Passeriformes",NA,NA,NA
"65","Sporophila sp NA","Sporophila sp","Emberizidae","Passeriformes",NA,NA,NA
"66","Trachyphonus sp NA","Trachyphonus sp","Capitonidae","Piciformes",NA,NA,NA
"67","Melignomon sp NA","Melignomon sp","Indicatoridae","Piciformes",NA,NA,NA
"68","Sphyrapicus nuchalis x ruber NA","Sphyrapicus nuchalis x ruber","Picidae","Piciformes",NA,NA,NA
"69","Puffinus sp NA","Puffinus sp","Procellariidae","Procellariiformes",NA,NA,NA
