"","sciname","genus","species","family","order"
"4769","Parus melanolophus","Parus","melanolophus","Paridae","Passeriformes"
"4770","Inezia tenuirostris","Inezia","tenuirostris","Tyrannidae","Passeriformes"
"4771","Peltops montanus","Peltops","montanus","Muscicapidae","Passeriformes"
"4772","Phoenicurus frontalis","Phoenicurus","frontalis","Muscicapidae","Passeriformes"
"4773","Phylloscopus olivaceus","Phylloscopus","olivaceus","Muscicapidae","Passeriformes"
"4774","Monachella muelleriana","Monachella","muelleriana","Muscicapidae","Passeriformes"
"4775","Monarcha guttula","Monarcha","guttula","Muscicapidae","Passeriformes"
"4776","Niltava herioti","Niltava","herioti","Muscicapidae","Passeriformes"
"4777","Poecilodryas placens","Poecilodryas","placens","Muscicapidae","Passeriformes"
"4778","Stachyris pyrrhops","Stachyris","pyrrhops","Muscicapidae","Passeriformes"
"4779","Stachyris whiteheadi","Stachyris","whiteheadi","Muscicapidae","Passeriformes"
"4780","Sericornis arfakianus","Sericornis","arfakianus","Muscicapidae","Passeriformes"
"4781","Chaimarrornis leucocephalus","Chaimarrornis","leucocephalus","Muscicapidae","Passeriformes"
"4782","Cettia acanthizoides","Cettia","acanthizoides","Muscicapidae","Passeriformes"
"4783","Eulacestoma nigropectus","Eulacestoma","nigropectus","Muscicapidae","Passeriformes"
"4784","Gerygone cinerea","Gerygone","cinerea","Muscicapidae","Passeriformes"
"4785","Accipiter poliocephalus","Accipiter","poliocephalus","Accipitridae","Falconiformes"
"4786","Perisoreus infaustus","Perisoreus","infaustus","Corvidae","Passeriformes"
"4787","Garrulus lanceolatus","Garrulus","lanceolatus","Corvidae","Passeriformes"
"4788","Oreocharis arfaki","Oreocharis","arfaki","Dicaeidae","Passeriformes"
"4789","Calcarius pictus","Calcarius","pictus","Emberizidae","Passeriformes"
"4790","Emberiza stewarti","Emberiza","stewarti","Emberizidae","Passeriformes"
"4791","Erythrura papuana","Erythrura","papuana","Estrildidae","Passeriformes"
"4792","Erythrura viridifacies","Erythrura","viridifacies","Estrildidae","Passeriformes"
"4793","Notiochelidon pileata","Notiochelidon","pileata","Hirundinidae","Passeriformes"
"4794","Serinus pusillus","Serinus","pusillus","Fringillidae","Passeriformes"
"4795","Pyrrhula erythrocephala","Pyrrhula","erythrocephala","Fringillidae","Passeriformes"
"4796","Coccothraustes melanozanthos","Coccothraustes","melanozanthos","Fringillidae","Passeriformes"
"4797","Haematospiza sipahi","Haematospiza","sipahi","Fringillidae","Passeriformes"
"4798","Notharchus pectoralis","Notharchus","pectoralis","Bucconidae","Piciformes"
"4799","Bucco macrodactylus","Bucco","macrodactylus","Bucconidae","Piciformes"
"4800","Ramphastos citreolaemus","Ramphastos","citreolaemus","Ramphastidae","Piciformes"
"4801","Pionopsitta pyrilia","Pionopsitta","pyrilia","Psittacidae","Psittaciformes"
"4802","Collocalia whiteheadi","Collocalia","whiteheadi","Apodidae","Apodiformes"
"4803","Hemiprocne comata","Hemiprocne","comata","Hemiprocnidae","Apodiformes"
"4804","Lamprolaima rhami","Lamprolaima","rhami","Trochilidae","Apodiformes"
"4805","Leucippus fallax","Leucippus","fallax","Trochilidae","Apodiformes"
"4806","Lampornis viridipallens","Lampornis","viridipallens","Trochilidae","Apodiformes"
"4807","Campylopterus curvipennis","Campylopterus","curvipennis","Trochilidae","Apodiformes"
"4808","Amazilia yucatanensis","Amazilia","yucatanensis","Trochilidae","Apodiformes"
"4809","Podargus ocellatus","Podargus","ocellatus","Podargidae","Caprimulgiformes"
"4810","Caprimulgus asiaticus","Caprimulgus","asiaticus","Caprimulgidae","Caprimulgiformes"
"4811","Eurostopodus macrotis","Eurostopodus","macrotis","Caprimulgidae","Caprimulgiformes"
"4812","Aegotheles insignis","Aegotheles","insignis","Aegothelidae","Caprimulgiformes"
"4813","Burhinus senegalensis","Burhinus","senegalensis","Burhinidae","Charadriiformes"
"4814","Ptilinopus rivoli","Ptilinopus","rivoli","Columbidae","Columbiformes"
"4815","Reinwardtoena reinwardtsi","Reinwardtoena","reinwardtsi","Columbidae","Columbiformes"
"4816","Phapitreron leucotis","Phapitreron","leucotis","Columbidae","Columbiformes"
"4817","Columba vitiensis","Columba","vitiensis","Columbidae","Columbiformes"
"4818","Gymnophaps albertisii","Gymnophaps","albertisii","Columbidae","Columbiformes"
"4819","Streptopelia bitorquata","Streptopelia","bitorquata","Columbidae","Columbiformes"
"4820","Melidora macrorrhina","Melidora","macrorrhina","Alcedinidae","Coraciiformes"
"4821","Ceyx argentatus","Ceyx","argentatus","Alcedinidae","Coraciiformes"
"4822","Ceyx cyanopectus","Ceyx","cyanopectus","Alcedinidae","Coraciiformes"
"4823","Ceryle lugubris","Ceryle","lugubris","Alcedinidae","Coraciiformes"
"4824","Merops viridis","Merops","viridis","Meropidae","Coraciiformes"
"4825","Microdynamis parva","Microdynamis","parva","Cuculidae","Cuculiformes"
"4826","Surniculus lugubris","Surniculus","lugubris","Cuculidae","Cuculiformes"
"4827","Cacomantis merulinus","Cacomantis","merulinus","Cuculidae","Cuculiformes"
"4828","Cuculus fugax","Cuculus","fugax","Cuculidae","Cuculiformes"
"4829","Cuculus sparverioides","Cuculus","sparverioides","Cuculidae","Cuculiformes"
"4830","Circaetus gallicus","Circaetus","gallicus","Accipitridae","Falconiformes"
"4831","Accipiter virgatus","Accipiter","virgatus","Accipitridae","Falconiformes"
"4832","Lagopus leucurus","Lagopus","leucurus","Phasianidae","Galliformes"
"4833","Rallus torquatus","Rallus","torquatus","Rallidae","Gruiformes"
"4834","Ptilogonys cinereus","Ptilogonys","cinereus","Bombycillidae","Passeriformes"
"4835","Pericrocotus cinnamomeus","Pericrocotus","cinnamomeus","Campephagidae","Passeriformes"
"4836","Lalage nigra","Lalage","nigra","Campephagidae","Passeriformes"
"4837","Coracina melaena","Coracina","melaena","Campephagidae","Passeriformes"
"4838","Coracina boyeri","Coracina","boyeri","Campephagidae","Passeriformes"
"4839","Coracina caeruleogrisea","Coracina","caeruleogrisea","Campephagidae","Passeriformes"
"4840","Coracina schisticeps","Coracina","schisticeps","Campephagidae","Passeriformes"
"4841","Oriolus chlorocephalus","Oriolus","chlorocephalus","Oriolidae","Passeriformes"
"4842","Loria loriae","Loria","loriae","Paradisaeidae","Passeriformes"
