"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7625","Megalaima australis cyanotis","Capitonidae","Piciformes","Psilopogon duvaucelii cyanotis",11338,"Megalaimidae","PICIFORMES"
"7626","Picus chlorolophus chlorolophoides","Picidae","Piciformes","Picus chlorolophus chlorolophus",12571,"Picidae","PICIFORMES"
"7627","Gavia arctica arctica","Gaviidae","Gaviiformes","Gavia arctica arctica",7284,"Gaviidae","GAVIIFORMES"
"7628","Anser albifrons elgasi","Anatidae","Anseriformes","Anser albifrons elgasi",288,"Anatidae","ANSERIFORMES"
"7629","Toxostoma bendirei NA","Mimidae","Passeriformes","Toxostoma bendirei NA",29450,"Mimidae","PASSERIFORMES"
"7630","Fulica americana alai","Rallidae","Gruiformes","Fulica alai NA",5924,"Rallidae","GRUIFORMES"
"7631","Trachyphonus erythrocephalus NA","Capitonidae","Piciformes","Trachyphonus erythrocephalus NA",11549,"Lybiidae","PICIFORMES"
"7632","Alectrurus tricolor NA","Tyrannidae","Passeriformes","Alectrurus tricolor NA",17823,"Tyrannidae","PASSERIFORMES"
"7633","Myrmotherula urosticta NA","Formicariidae","Passeriformes","Myrmotherula urosticta NA",15736,"Thamnophilidae","PASSERIFORMES"
"7634","Thripophaga macroura NA","Furnariidae","Passeriformes","Thripophaga macroura NA",15367,"Furnariidae","PASSERIFORMES"
"7635","Streptoprocne zonaris zonaris","Apodidae","Apodiformes","Streptoprocne zonaris zonaris",2288,"Apodidae","APODIFORMES"
"7636","Neomorphus geoffroyi dulcis","Cuculidae","Cuculiformes","Neomorphus geoffroyi dulcis",3897,"Cuculidae","CUCULIFORMES"
"7637","Buteo magnirostris pucherani","Accipitridae","Falconiformes","Rupornis magnirostris pucherani",8716,"Accipitridae","ACCIPITRIFORMES"
"7638","Micropygia schomburgkii chapmani","Rallidae","Gruiformes","Micropygia schomburgkii chapmani",5977,"Rallidae","GRUIFORMES"
"7639","Myrmotherula leucophthalma sordida","Formicariidae","Passeriformes","Epinecrophylla leucophthalma sordida",15663,"Thamnophilidae","PASSERIFORMES"
"7640","Microrhopias quixensis microsticta","Formicariidae","Passeriformes","Microrhopias quixensis microstictus",15639,"Thamnophilidae","PASSERIFORMES"
"7641","Myadestes leucogenys leucogenys","Muscicapidae","Passeriformes","Cichlopsis leucogenys leucogenys",29945,"Turdidae","PASSERIFORMES"
"7642","Sterna hirundinacea NA","Laridae","Charadriiformes","Sterna hirundinacea NA",7142,"Laridae","CHARADRIIFORMES"
"7643","Chionis alba NA","Chionididae","Charadriiformes","Chionis albus NA",6381,"Chionidae","CHARADRIIFORMES"
"7644","Haematopus ater NA","Haematopodidae","Charadriiformes","Haematopus ater NA",6389,"Haematopodidae","CHARADRIIFORMES"
"7645","Charadrius falklandicus NA","Charadriidae","Charadriiformes","Charadrius falklandicus NA",6572,"Charadriidae","CHARADRIIFORMES"
"7646","Phalacrocorax magellanicus NA","Phalacrocoracidae","Pelecaniformes","Leucocarbo magellanicus NA",7756,"Phalacrocoracidae","SULIFORMES"
"7647","Macronectes giganteus NA","Procellariidae","Procellariiformes","Macronectes giganteus NA",7426,"Procellariidae","PROCELLARIIFORMES"
"7648","Anas specularioides specularioides","Anatidae","Anseriformes","Lophonetta specularioides specularioides",368,"Anatidae","ANSERIFORMES"
"7649","Oreopholus ruficollis NA","Charadriidae","Charadriiformes","Oreopholus ruficollis NA",6595,"Charadriidae","CHARADRIIFORMES"
"7650","Phleocryptes melanops NA","Furnariidae","Passeriformes","Phleocryptes melanops NA",14940,"Furnariidae","PASSERIFORMES"
"7651","Falco femoralis pichinchae","Falconidae","Falconiformes","Falco femoralis pichinchae",12885,"Falconidae","FALCONIFORMES"
"7652","Buteo brachyurus albigula","Accipitridae","Falconiformes","Buteo albigula NA",8766,"Accipitridae","ACCIPITRIFORMES"
"7653","Aphrastura spinicauda NA","Furnariidae","Passeriformes","Aphrastura spinicauda NA",15200,"Furnariidae","PASSERIFORMES"
"7654","Podiceps occipitalis occipitalis","Podicipedidae","Podicipediformes","Podiceps occipitalis occipitalis",6249,"Podicipedidae","PODICIPEDIFORMES"
"7655","Collocalia esculenta linchi","Apodidae","Apodiformes","Collocalia linchi linchi",2338,"Apodidae","APODIFORMES"
