"","sciname","subspecies","genus","species","family","order"
"4242","Argusianus argus","argus","Argusianus","argus","Phasianidae","Galliformes"
"4243","Bambusicola thoracica","ssp","Bambusicola","thoracica","Phasianidae","Galliformes"
"4244","Bambusicola fytchii","fytchii","Bambusicola","fytchii","Phasianidae","Galliformes"
"4245","Bonasa bonasia","rupestris","Bonasa","bonasia","Phasianidae","Galliformes"
"4246","Callipepla douglasii","bensoni","Callipepla","douglasii","Phasianidae","Galliformes"
"4247","Callipepla squamata","castanogastra","Callipepla","squamata","Phasianidae","Galliformes"
"4248","Caloperdix oculea","oculea","Caloperdix","oculea","Phasianidae","Galliformes"
"4249","Galloperdix spadicea","ssp","Galloperdix","spadicea","Phasianidae","Galliformes"
"4250","Coturnix sp","ssp","Coturnix","sp","Phasianidae","Galliformes"
"4251","Coturnix coturnix","africana","Coturnix","coturnix","Phasianidae","Galliformes"
"4252","Coturnix delegorguei","delegorguei","Coturnix","delegorguei","Phasianidae","Galliformes"
"4253","Crossoptilon crossoptilon","ssp","Crossoptilon","crossoptilon","Phasianidae","Galliformes"
"4254","Cyrtonyx montezumae","mearnsi","Cyrtonyx","montezumae","Phasianidae","Galliformes"
"4255","Cyrtonyx ocellatus","ssp","Cyrtonyx","ocellatus","Phasianidae","Galliformes"
"4256","Dendragapus obscurus","obscurus","Dendragapus","obscurus","Phasianidae","Galliformes"
"4257","Excalfactoria chinensis","chinensis","Excalfactoria","chinensis","Phasianidae","Galliformes"
"4258","Falcipennis canadensis","canadensis","Falcipennis","canadensis","Phasianidae","Galliformes"
"4259","Francolinus afer","humboldtii","Francolinus","afer","Phasianidae","Galliformes"
"4260","Francolinus bicalcaratus","bicalcaratus","Francolinus","bicalcaratus","Phasianidae","Galliformes"
"4261","Francolinus clappertoni","clappertoni","Francolinus","clappertoni","Phasianidae","Galliformes"
"4262","Francolinus coqui","hubbardi","Francolinus","coqui","Phasianidae","Galliformes"
"4263","Francolinus hartlaubi","crypticus","Francolinus","hartlaubi","Phasianidae","Galliformes"
"4264","Francolinus hildebrandti","hildebrandti","Francolinus","hildebrandti","Phasianidae","Galliformes"
"4265","Francolinus icterorhynchus","dybowskii","Francolinus","icterorhynchus","Phasianidae","Galliformes"
"4266","Francolinus jacksoni","jacksoni","Francolinus","jacksoni","Phasianidae","Galliformes"
"4267","Francolinus lathami","schubotzi","Francolinus","lathami","Phasianidae","Galliformes"
"4268","Francolinus levaillantoides","archeri","Francolinus","levaillantoides","Phasianidae","Galliformes"
"4269","Francolinus nobilis","nobilis","Francolinus","nobilis","Phasianidae","Galliformes"
"4270","Francolinus sephaena","grantii","Francolinus","sephaena","Phasianidae","Galliformes"
"4271","Francolinus shelleyi","uluensis","Francolinus","shelleyi","Phasianidae","Galliformes"
"4272","Francolinus squamatus","schuetti","Francolinus","squamatus","Phasianidae","Galliformes"
"4273","Francolinus erckelii","ssp","Francolinus","erckelii","Phasianidae","Galliformes"
"4274","Francolinus francolinus","asiae","Francolinus","francolinus","Phasianidae","Galliformes"
"4275","Francolinus pondicerianus","interpositus","Francolinus","pondicerianus","Phasianidae","Galliformes"
"4276","Francolinus pictus","pictus","Francolinus","pictus","Phasianidae","Galliformes"
"4277","Francolinus pintadeanus","pintadeanus","Francolinus","pintadeanus","Phasianidae","Galliformes"
"4278","Alectoris barbara","barbara","Alectoris","barbara","Phasianidae","Galliformes"
"4279","Alectoris graeca","ssp","Alectoris","graeca","Phasianidae","Galliformes"
"4280","Perdicula asiatica","asiatica","Perdicula","asiatica","Phasianidae","Galliformes"
"4281","Perdicula erythrorhyncha","blewitti","Perdicula","erythrorhyncha","Phasianidae","Galliformes"
"4282","Oreortyx picta","ssp","Oreortyx","picta","Phasianidae","Galliformes"
"4283","Odontophorus atrifrons","variegatus","Odontophorus","atrifrons","Phasianidae","Galliformes"
"4284","Odontophorus capueira","ssp","Odontophorus","capueira","Phasianidae","Galliformes"
"4285","Odontophorus gujanensis","buckleyi","Odontophorus","gujanensis","Phasianidae","Galliformes"
"4286","Lagopus mutus","rupestris","Lagopus","mutus","Phasianidae","Galliformes"
"4287","Lophura leucomelana","lineata","Lophura","leucomelana","Phasianidae","Galliformes"
"4288","Lophura ignita","rufa","Lophura","ignita","Phasianidae","Galliformes"
"4289","Tropicoperdix charltonii","charltonii","Tropicoperdix","charltonii","Phasianidae","Galliformes"
"4290","Tropicoperdix chloropus","cognacqi","Tropicoperdix","chloropus","Phasianidae","Galliformes"
"4291","Phasianus sp","ssp","Phasianus","sp","Phasianidae","Galliformes"
"4292","Numida meleagris","damarensis","Numida","meleagris","Phasianidae","Galliformes"
"4293","Ptilopachus petrosus","brehmi","Ptilopachus","petrosus","Phasianidae","Galliformes"
"4294","Rhynchortyx cinctus","australis","Rhynchortyx","cinctus","Phasianidae","Galliformes"
"4295","Synoicus ypsilophorus","australis","Synoicus","ypsilophorus","Phasianidae","Galliformes"
"4296","Gavia sp","ssp","Gavia","sp","Gaviidae","Gaviiformes"
"4297","Lissotis melanogaster","melanogaster","Lissotis","melanogaster","Otididae","Gruiformes"
"4298","Choriotis arabs","stieberi","Choriotis","arabs","Otididae","Gruiformes"
"4299","Choriotis kori","ssp","Choriotis","kori","Otididae","Gruiformes"
"4300","Eupodotis vigorsii","fitzsimonsi","Eupodotis","vigorsii","Otididae","Gruiformes"
"4301","Turnix pyrrhothorax","ssp","Turnix","pyrrhothorax","Turnicidae","Gruiformes"
"4302","Turnix sp","ssp","Turnix","sp","Turnicidae","Gruiformes"
"4303","Turnix suscitator","blakistoni","Turnix","suscitator","Turnicidae","Gruiformes"
"4304","Turnix sylvatica","lepurana","Turnix","sylvatica","Turnicidae","Gruiformes"
"4305","Turnix tanki","tanki","Turnix","tanki","Turnicidae","Gruiformes"
"4306","Rallus philippensis","ssp","Rallus","philippensis","Rallidae","Gruiformes"
"4307","Rallus striatus","gularis","Rallus","striatus","Rallidae","Gruiformes"
"4308","Rallus longirostris","waynei","Rallus","longirostris","Rallidae","Gruiformes"
"4309","Rallus elegans","elegans","Rallus","elegans","Rallidae","Gruiformes"
"4310","Ortygonax nigricans","caucae","Ortygonax","nigricans","Rallidae","Gruiformes"
"4311","Ortygonax sanguinolentus","sanguinolentus","Ortygonax","sanguinolentus","Rallidae","Gruiformes"
"4312","Pardirallus maculatus","maculatus","Pardirallus","maculatus","Rallidae","Gruiformes"
"4313","Porphyrio madagascariensis","madagascariensis","Porphyrio","madagascariensis","Rallidae","Gruiformes"
"4314","Porphyrio porphyrio","samoensis","Porphyrio","porphyrio","Rallidae","Gruiformes"
"4315","Porphyriops melanops","crassirostris","Porphyriops","melanops","Rallidae","Gruiformes"
"4316","Porzana limicola","ssp","Porzana","limicola","Rallidae","Gruiformes"
"4317","Porzana flaviventer","flaviventer","Porzana","flaviventer","Rallidae","Gruiformes"
"4318","Porzana albicollis","albicollis","Porzana","albicollis","Rallidae","Gruiformes"
"4319","Sarothrura elegans","reichenovi","Sarothrura","elegans","Rallidae","Gruiformes"
"4320","Sarothrura pulchra","centralis","Sarothrura","pulchra","Rallidae","Gruiformes"
"4321","Neocrex erythrops","columbianus","Neocrex","erythrops","Rallidae","Gruiformes"
"4322","Gallinula chloropus","galeata","Gallinula","chloropus","Rallidae","Gruiformes"
"4323","Gallinula tenebrosa","tenebrosa","Gallinula","tenebrosa","Rallidae","Gruiformes"
"4324","Coturnicops noveboracensis","noveboracensis","Coturnicops","noveboracensis","Rallidae","Gruiformes"
"4325","Gallicrex cinerea","cinerea","Gallicrex","cinerea","Rallidae","Gruiformes"
"4326","Gallirallus australis","australis","Gallirallus","australis","Rallidae","Gruiformes"
"4327","Himantornis haematopus","haematopus","Himantornis","haematopus","Rallidae","Gruiformes"
"4328","Laterallus jamaicensis","coturniculus","Laterallus","jamaicensis","Rallidae","Gruiformes"
"4329","Laterallus albigularis","albigularis","Laterallus","albigularis","Rallidae","Gruiformes"
"4330","Laterallus melanophaius","melanophaius","Laterallus","melanophaius","Rallidae","Gruiformes"
"4331","Laterallus viridis","ssp","Laterallus","viridis","Rallidae","Gruiformes"
"4332","Fulica atra","atra","Fulica","atra","Rallidae","Gruiformes"
"4333","Psophia crepitans","crepitans","Psophia","crepitans","Psophiidae","Gruiformes"
"4334","Psophia leucoptera","ssp","Psophia","leucoptera","Psophiidae","Gruiformes"
"4335","Psophia viridis","obscura","Psophia","viridis","Psophiidae","Gruiformes"
"4336","Podica senegalensis","senegalensis","Podica","senegalensis","Heliornithidae","Gruiformes"
"4337","Balearica regulorum","gibbericeps","Balearica","regulorum","Gruidae","Gruiformes"
"4338","Grus grus","ssp","Grus","grus","Gruidae","Gruiformes"
"4339","Grus antigone","ssp","Grus","antigone","Gruidae","Gruiformes"
"4340","Cinclus mexicanus","unicolor","Cinclus","mexicanus","Cinclidae","Passeriformes"
"4341","Cinclus cinclus","aquaticus","Cinclus","cinclus","Cinclidae","Passeriformes"
"4342","Cinclus leucocephalus","leuconotus","Cinclus","leucocephalus","Cinclidae","Passeriformes"
"4343","Ducula forsteni",NA,"Ducula","forsteni","Columbidae","Columbiformes"
"4344","Psaltriparus minimus","ssp","Psaltriparus","minimus","Aegithalidae","Passeriformes"
"4345","Galerida cristata","cristata","Galerida","cristata","Alaudidae","Passeriformes"
"4346","Galerida modesta","modesta","Galerida","modesta","Alaudidae","Passeriformes"
"4347","Pseudalaemon fremantlii","delamerei","Pseudalaemon","fremantlii","Alaudidae","Passeriformes"
"4348","Mirafra africanoides","africanoides","Mirafra","africanoides","Alaudidae","Passeriformes"
"4349","Mirafra nigricans","nigricans","Mirafra","nigricans","Alaudidae","Passeriformes"
"4350","Mirafra poecilosterna","massaica","Mirafra","poecilosterna","Alaudidae","Passeriformes"
"4351","Mirafra sabota","sabota","Mirafra","sabota","Alaudidae","Passeriformes"
"4352","Mirafra africana","ssp","Mirafra","africana","Alaudidae","Passeriformes"
"4353","Mirafra apiata","nata","Mirafra","apiata","Alaudidae","Passeriformes"
"4354","Mirafra hypermetra","hypermetra","Mirafra","hypermetra","Alaudidae","Passeriformes"
"4355","Mirafra javanica","horsfieldii","Mirafra","javanica","Alaudidae","Passeriformes"
"4356","Mirafra rufocinnamomea","smithersi","Mirafra","rufocinnamomea","Alaudidae","Passeriformes"
"4357","Melanocorypha calandra","calandra","Melanocorypha","calandra","Alaudidae","Passeriformes"
"4358","Alaemon alaudipes","alaudipes","Alaemon","alaudipes","Alaudidae","Passeriformes"
"4359","Sappho sparganura",NA,"Sappho","sparganura","Trochilidae","Apodiformes"
"4360","Certhilauda albofasciata","kalahariae","Certhilauda","albofasciata","Alaudidae","Passeriformes"
"4361","Certhilauda curvirostris","bradshawi","Certhilauda","curvirostris","Alaudidae","Passeriformes"
"4362","Calandrella conirostris","barlowi","Calandrella","conirostris","Alaudidae","Passeriformes"
"4363","Calandrella acutirostris","tibetana","Calandrella","acutirostris","Alaudidae","Passeriformes"
"4364","Calandrella cinerea","brachydactyla","Calandrella","cinerea","Alaudidae","Passeriformes"
"4365","Eremopterix signata","signata","Eremopterix","signata","Alaudidae","Passeriformes"
"4366","Eremopterix leucotis","leucotis","Eremopterix","leucotis","Alaudidae","Passeriformes"
"4367","Eremopterix nigriceps","nigriceps","Eremopterix","nigriceps","Alaudidae","Passeriformes"
"4368","Eremopterix verticalis","khama","Eremopterix","verticalis","Alaudidae","Passeriformes"
"4369","Artamus leucorhynchus","leucorhynchus","Artamus","leucorhynchus","Artamidae","Passeriformes"
"4370","Artamus cinereus","inkermani","Artamus","cinereus","Artamidae","Passeriformes"
"4371","Phainopepla nitens","ssp","Phainopepla","nitens","Bombycillidae","Passeriformes"
"4372","Bombycilla garrulus","garrulus","Bombycilla","garrulus","Bombycillidae","Passeriformes"
"4373","Callaeas cinerea","wilsoni","Callaeas","cinerea","Callaeidae","Passeriformes"
"4374","Campephaga phoenicia","flava","Campephaga","phoenicia","Campephagidae","Passeriformes"
"4375","Campephaga phoenicea","flava","Campephaga","phoenicea","Campephagidae","Passeriformes"
"4376","Campephaga quiscalina","martini","Campephaga","quiscalina","Campephagidae","Passeriformes"
"4377","Tephrodornis gularis","mekongensis","Tephrodornis","gularis","Campephagidae","Passeriformes"
"4378","Tephrodornis pondicerianus","pallidus","Tephrodornis","pondicerianus","Campephagidae","Passeriformes"
"4379","Pericrocotus ethologus","ethologus","Pericrocotus","ethologus","Campephagidae","Passeriformes"
"4380","Pericrocotus flammeus","semiruber","Pericrocotus","flammeus","Campephagidae","Passeriformes"
"4381","Pericrocotus roseus","roseus","Pericrocotus","roseus","Campephagidae","Passeriformes"
"4382","Lalage leucomela","conjuncta","Lalage","leucomela","Campephagidae","Passeriformes"
"4383","Lalage melanoleuca","melanoleuca","Lalage","melanoleuca","Campephagidae","Passeriformes"
"4384","Coracina caesia","pura","Coracina","caesia","Campephagidae","Passeriformes"
"4385","Coracina cinerea","cinerea","Coracina","cinerea","Campephagidae","Passeriformes"
"4386","Coracina lineata","sublineata","Coracina","lineata","Campephagidae","Passeriformes"
"4387","Coracina montana","ssp","Coracina","montana","Campephagidae","Passeriformes"
"4388","Coracina novaehollandiae","melanops","Coracina","novaehollandiae","Campephagidae","Passeriformes"
"4389","Coracina papuensis","melanolora","Coracina","papuensis","Campephagidae","Passeriformes"
"4390","Coracina polioptera","jabouillei","Coracina","polioptera","Campephagidae","Passeriformes"
"4391","Coracina striata","striata","Coracina","striata","Campephagidae","Passeriformes"
"4392","Coracina tenuirostris","remota","Coracina","tenuirostris","Campephagidae","Passeriformes"
"4393","Climacteris leucophaea","leucophaea","Climacteris","leucophaea","Climacteridae","Passeriformes"
"4394","Climacteris picumnus","picumnus","Climacteris","picumnus","Climacteridae","Passeriformes"
"4395","Salpornis spilonotus","emini","Salpornis","spilonotus","Certhiidae","Passeriformes"
"4396","Oriolus brachyrhynchus","laetior","Oriolus","brachyrhynchus","Oriolidae","Passeriformes"
"4397","Oriolus auratus","notatus","Oriolus","auratus","Oriolidae","Passeriformes"
"4398","Oriolus larvatus","additus","Oriolus","larvatus","Oriolidae","Passeriformes"
"4399","Oriolus nigripennis","nigripennis","Oriolus","nigripennis","Oriolidae","Passeriformes"
"4400","Oriolus oriolus","kundoo","Oriolus","oriolus","Oriolidae","Passeriformes"
"4401","Oriolus sagittatus","sagittatus","Oriolus","sagittatus","Oriolidae","Passeriformes"
"4402","Oriolus xanthornus","maderaspatanus","Oriolus","xanthornus","Oriolidae","Passeriformes"
"4403","Sphecotheres vieilloti","salvadorii","Sphecotheres","vieilloti","Oriolidae","Passeriformes"
"4404","Oxyruncus cristatus","cristatus","Oxyruncus","cristatus","Oxyruncidae","Passeriformes"
"4405","Manucodia ater","ater","Manucodia","ater","Paradisaeidae","Passeriformes"
"4406","Lophorina superba","minor","Lophorina","superba","Paradisaeidae","Passeriformes"
"4407","Astrapia stephaniae","ssp","Astrapia","stephaniae","Paradisaeidae","Passeriformes"
"4408","Epimachus fastuosus","ssp","Epimachus","fastuosus","Paradisaeidae","Passeriformes"
"4409","Diphyllodes magnificus","magnificus","Diphyllodes","magnificus","Paradisaeidae","Passeriformes"
"4410","Paradisaea apoda","ssp","Paradisaea","apoda","Paradisaeidae","Passeriformes"
"4411","Paradisaea minor","finschi","Paradisaea","minor","Paradisaeidae","Passeriformes"
"4412","Paradisaea raggiana","augustaevictoriae","Paradisaea","raggiana","Paradisaeidae","Passeriformes"
"4413","Poecile gambeli","baileyae","Poecile","gambeli","Paridae","Passeriformes"
"4414","Poecile atricapillus","atricapillus","Poecile","atricapillus","Paridae","Passeriformes"
"4415","Parus caeruleus","caeruleus","Parus","caeruleus","Paridae","Passeriformes"
"4416","Parus ater","ater","Parus","ater","Paridae","Passeriformes"
"4417","Parus atricapillus","atricapillus","Parus","atricapillus","Paridae","Passeriformes"
"4418","Parus carolinensis","carolinensis","Parus","carolinensis","Paridae","Passeriformes"
"4419","Parus cristatus","mitratus","Parus","cristatus","Paridae","Passeriformes"
"4420","Parus elegans","elegans","Parus","elegans","Paridae","Passeriformes"
"4421","Parus gambeli","abbreviatus","Parus","gambeli","Paridae","Passeriformes"
"4422","Parus hudsonicus","hudsonicus","Parus","hudsonicus","Paridae","Passeriformes"
"4423","Parus montanus","rhenanus","Parus","montanus","Paridae","Passeriformes"
"4424","Parus palustris","palustris","Parus","palustris","Paridae","Passeriformes"
"4425","Parus rufescens","rufescens","Parus","rufescens","Paridae","Passeriformes"
"4426","Parus sclateri","eidos","Parus","sclateri","Paridae","Passeriformes"
"4427","Parus varius","ssp","Parus","varius","Paridae","Passeriformes"
"4428","Parus major","tibetanus","Parus","major","Paridae","Passeriformes"
"4429","Parus afer","thruppi","Parus","afer","Paridae","Passeriformes"
"4430","Parus fasciiventer","fasciiventer","Parus","fasciiventer","Paridae","Passeriformes"
"4431","Parus funereus","funereus","Parus","funereus","Paridae","Passeriformes"
"4432","Parus leucomelas","guineensis","Parus","leucomelas","Paridae","Passeriformes"
"4433","Parus niger","niger","Parus","niger","Paridae","Passeriformes"
"4434","Parus rufiventris","pallidiventris","Parus","rufiventris","Paridae","Passeriformes"
"4435","Parus xanthogenys","aplonotus","Parus","xanthogenys","Paridae","Passeriformes"
"4436","Melanochlora sultanea","sultanea","Melanochlora","sultanea","Paridae","Passeriformes"
"4437","Baeolophus inornatus","ssp","Baeolophus","inornatus","Paridae","Passeriformes"
"4438","Baeolophus ridgwayi","ssp","Baeolophus","ridgwayi","Paridae","Passeriformes"
"4439","Baeolophus wollweberi","phillipsi","Baeolophus","wollweberi","Paridae","Passeriformes"
"4440","Vermivora superciliosa","sodalis","Vermivora","superciliosa","Parulidae","Passeriformes"
"4441","Phaeothlypis fulvicauda","semicervina","Phaeothlypis","fulvicauda","Parulidae","Passeriformes"
"4442","Phaeothlypis rivularis","rivularis","Phaeothlypis","rivularis","Parulidae","Passeriformes"
"4443","Peucedramus taeniatus","arizonae","Peucedramus","taeniatus","Parulidae","Passeriformes"
"4444","Parula pitiayumi","pacifica","Parula","pitiayumi","Parulidae","Passeriformes"
"4445","Oporornis tolmiei","tolmiei","Oporornis","tolmiei","Parulidae","Passeriformes"
"4446","Myioborus pictus","pictus","Myioborus","pictus","Parulidae","Passeriformes"
"4447","Myioborus miniatus","miniatus","Myioborus","miniatus","Parulidae","Passeriformes"
"4448","Myioborus ornatus","chrysops","Myioborus","ornatus","Parulidae","Passeriformes"
"4449","Granatellus pelzelni","pelzelni","Granatellus","pelzelni","Parulidae","Passeriformes"
"4450","Granatellus venustus","francescae","Granatellus","venustus","Parulidae","Passeriformes"
"4451","Geothlypis aequinoctialis","velata","Geothlypis","aequinoctialis","Parulidae","Passeriformes"
"4452","Geothlypis beldingi","beldingi","Geothlypis","beldingi","Parulidae","Passeriformes"
"4453","Geothlypis poliocephala","caninucha","Geothlypis","poliocephala","Parulidae","Passeriformes"
"4454","Geothlypis semiflava","bairdi","Geothlypis","semiflava","Parulidae","Passeriformes"
"4455","Dendroica caerulescens","caerulescens","Dendroica","caerulescens","Parulidae","Passeriformes"
"4456","Certhia familiaris","familiaris","Certhia","familiaris","Certhiidae","Passeriformes"
"4457","Dendroica discolor","discolor","Dendroica","discolor","Parulidae","Passeriformes"
"4458","Dendroica dominica","albilora","Dendroica","dominica","Parulidae","Passeriformes"
"4459","Dendroica graciae","graciae","Dendroica","graciae","Parulidae","Passeriformes"
"4460","Dendroica palmarum","hypochrysea","Dendroica","palmarum","Parulidae","Passeriformes"
"4461","Dendroica petechia","melanoptera","Dendroica","petechia","Parulidae","Passeriformes"
"4462","Dendroica pinus","florida","Dendroica","pinus","Parulidae","Passeriformes"
"4463","Conirostrum albifrons","atrocyaneum","Conirostrum","albifrons","Parulidae","Passeriformes"
"4464","Conirostrum cinereum","fraseri","Conirostrum","cinereum","Parulidae","Passeriformes"
"4465","Conirostrum sitticolor","sitticolor","Conirostrum","sitticolor","Parulidae","Passeriformes"
"4466","Conirostrum speciosum","amazonum","Conirostrum","speciosum","Parulidae","Passeriformes"
"4467","Basileuterus coronatus","elatus","Basileuterus","coronatus","Parulidae","Passeriformes"
"4468","Basileuterus fraseri","ochraceicrista","Basileuterus","fraseri","Parulidae","Passeriformes"
"4469","Basileuterus luteoviridis","luteoviridis","Basileuterus","luteoviridis","Parulidae","Passeriformes"
"4470","Basileuterus belli","scitulus","Basileuterus","belli","Parulidae","Passeriformes"
"4471","Basileuterus culicivorus","occultus","Basileuterus","culicivorus","Parulidae","Passeriformes"
"4472","Basileuterus melanogenys","melanogenys","Basileuterus","melanogenys","Parulidae","Passeriformes"
"4473","Basileuterus rufifrons","rufifrons","Basileuterus","rufifrons","Parulidae","Passeriformes"
"4474","Basileuterus tristriatus","auricularis","Basileuterus","tristriatus","Parulidae","Passeriformes"
"4475","Phytotoma rutila","angustirostris","Phytotoma","rutila","Phytotomidae","Passeriformes"
"4476","Piprites chloris","chlorion","Piprites","chloris","Pipridae","Passeriformes"
"4477","Masius chrysopterus","coronulatus","Masius","chrysopterus","Pipridae","Passeriformes"
"4478","Teleonema filicauda","filicauda","Teleonema","filicauda","Pipridae","Passeriformes"
"4479","Pipra coronata","caquetae","Pipra","coronata","Pipridae","Passeriformes"
"4480","Pipra iris","eucephala","Pipra","iris","Pipridae","Passeriformes"
"4481","Pipra serena","serena","Pipra","serena","Pipridae","Passeriformes"
"4482","Pipra erythrocephala","berlepschi","Pipra","erythrocephala","Pipridae","Passeriformes"
"4483","Pipra mentalis","ignifera","Pipra","mentalis","Pipridae","Passeriformes"
"4484","Pipra pipra","cephaleucos","Pipra","pipra","Pipridae","Passeriformes"
"4485","Pipra aureola","aureola","Pipra","aureola","Pipridae","Passeriformes"
"4486","Pipra fasciicauda","scarlatina","Pipra","fasciicauda","Pipridae","Passeriformes"
"4487","Machaeropterus pyrocephalus","pyrocephalus","Machaeropterus","pyrocephalus","Pipridae","Passeriformes"
"4488","Machaeropterus regulus","striolatus","Machaeropterus","regulus","Pipridae","Passeriformes"
"4489","Schiffornis turdinus","rosenbergi","Schiffornis","turdinus","Pipridae","Passeriformes"
"4490","Corapipo leucorrhoa","altera","Corapipo","leucorrhoa","Pipridae","Passeriformes"
"4491","Chloropipo holochlora","holochlora","Chloropipo","holochlora","Pipridae","Passeriformes"
"4492","Chiroxiphia pareola","pareola","Chiroxiphia","pareola","Pipridae","Passeriformes"
"4493","Manacus vitellinus","viridiventris","Manacus","vitellinus","Pipridae","Passeriformes"
"4494","Manacus manacus","ssp","Manacus","manacus","Pipridae","Passeriformes"
"4495","Pitta (moluccensis)","ssp","Pitta","(moluccensis)","Pittidae","Passeriformes"
"4496","Pitta angolensis","longipennis","Pitta","angolensis","Pittidae","Passeriformes"
"4497","Pitta sordida","cucullata","Pitta","sordida","Pittidae","Passeriformes"
"4498","Passer griseus","gongonensis","Passer","griseus","Ploceidae","Passeriformes"
"4499","Passer hispaniolensis","hispaniolensis","Passer","hispaniolensis","Ploceidae","Passeriformes"
"4500","Passer iagoensis","rufocinctus","Passer","iagoensis","Ploceidae","Passeriformes"
"4501","Passer luteus","luteus","Passer","luteus","Ploceidae","Passeriformes"
"4502","Passer melanurus","melanurus","Passer","melanurus","Ploceidae","Passeriformes"
"4503","Passer simplex","simplex","Passer","simplex","Ploceidae","Passeriformes"
"4504","Passer montanus","malaccensis","Passer","montanus","Ploceidae","Passeriformes"
"4505","Pseudonigrita arnaudi","arnaudi","Pseudonigrita","arnaudi","Ploceidae","Passeriformes"
"4506","Ploceus subaureus","aureoflavus","Ploceus","subaureus","Ploceidae","Passeriformes"
"4507","Ploceus velatus","nigrifrons","Ploceus","velatus","Ploceidae","Passeriformes"
"4508","Ploceus cucullatus","bohndorffi","Ploceus","cucullatus","Ploceidae","Passeriformes"
"4509","Ploceus albinucha","holomelas","Ploceus","albinucha","Ploceidae","Passeriformes"
"4510","Ploceus baglafecht","stuhlmanni","Ploceus","baglafecht","Ploceidae","Passeriformes"
"4511","Ploceus bicolor","stictifrons","Ploceus","bicolor","Ploceidae","Passeriformes"
"4512","Ploceus insignis","insignis","Ploceus","insignis","Ploceidae","Passeriformes"
"4513","Ploceus intermedius","intermedius","Ploceus","intermedius","Ploceidae","Passeriformes"
"4514","Ploceus luteolus","kavirondensis","Ploceus","luteolus","Ploceidae","Passeriformes"
"4515","Ploceus melanocephalus","fischeri","Ploceus","melanocephalus","Ploceidae","Passeriformes"
"4516","Ploceus melanogaster","stephanophorus","Ploceus","melanogaster","Ploceidae","Passeriformes"
"4517","Ploceus nigerrimus","nigerrimus","Ploceus","nigerrimus","Ploceidae","Passeriformes"
"4518","Ploceus nigricollis","brachypterus","Ploceus","nigricollis","Ploceidae","Passeriformes"
"4519","Ploceus ocularis","suahelicus","Ploceus","ocularis","Ploceidae","Passeriformes"
"4520","Ploceus pelzelni","pelzelni","Ploceus","pelzelni","Ploceidae","Passeriformes"
"4521","Ploceus philippinus","ssp","Ploceus","philippinus","Ploceidae","Passeriformes"
"4522","Ploceus rubiginosus","rubiginosus","Ploceus","rubiginosus","Ploceidae","Passeriformes"
"4523","Ploceus tricolor","interscapularis","Ploceus","tricolor","Ploceidae","Passeriformes"
"4524","Plocepasser mahali","mahali","Plocepasser","mahali","Ploceidae","Passeriformes"
"4525","Sporopipes frontalis","emini","Sporopipes","frontalis","Ploceidae","Passeriformes"
"4526","Philetairus socius","socius","Philetairus","socius","Ploceidae","Passeriformes"
"4527","Petronia xanthocollis","pyrgita","Petronia","xanthocollis","Ploceidae","Passeriformes"
"4528","Quelea cardinalis","cardinalis","Quelea","cardinalis","Ploceidae","Passeriformes"
"4529","Quelea quelea","aethiopica","Quelea","quelea","Ploceidae","Passeriformes"
"4530","Montifringilla nivalis","nivalis","Montifringilla","nivalis","Ploceidae","Passeriformes"
"4531","Malimbus rubriceps","leuconotus","Malimbus","rubriceps","Ploceidae","Passeriformes"
"4532","Malimbus malimbicus","malimbicus","Malimbus","malimbicus","Ploceidae","Passeriformes"
"4533","Malimbus rubricollis","rubricollis","Malimbus","rubricollis","Ploceidae","Passeriformes"
"4534","Euplectes macrourus","macrourus","Euplectes","macrourus","Ploceidae","Passeriformes"
"4535","Euplectes albonotatus","eques","Euplectes","albonotatus","Ploceidae","Passeriformes"
"4536","Euplectes ardens","ssp","Euplectes","ardens","Ploceidae","Passeriformes"
"4537","Euplectes axillaris","phoeniceus","Euplectes","axillaris","Ploceidae","Passeriformes"
"4538","Euplectes capensis","approximans","Euplectes","capensis","Ploceidae","Passeriformes"
"4539","Euplectes hordeaceus","hordeaceus","Euplectes","hordeaceus","Ploceidae","Passeriformes"
"4540","Euplectes orix","ssp","Euplectes","orix","Ploceidae","Passeriformes"
"4541","Bubalornis albirostris","ssp","Bubalornis","albirostris","Ploceidae","Passeriformes"
"4542","Amblyospiza albifrons","albifrons","Amblyospiza","albifrons","Ploceidae","Passeriformes"
"4543","Vidua chalybeata","centralis","Vidua","chalybeata","Ploceidae","Passeriformes"
"4544","Vidua funerea","purpurascens","Vidua","funerea","Ploceidae","Passeriformes"
"4545","Vidua orientalis","aucupum","Vidua","orientalis","Ploceidae","Passeriformes"
"4546","Nectarinia adelberti","eboensis","Nectarinia","adelberti","Nectariniidae","Passeriformes"
"4547","Nectarinia afra","saliens","Nectarinia","afra","Nectariniidae","Passeriformes"
"4548","Nectarinia alinae","alinae","Nectarinia","alinae","Nectariniidae","Passeriformes"
"4549","Nectarinia amethystina","amethystina","Nectarinia","amethystina","Nectariniidae","Passeriformes"
"4550","Nectarinia asiatica","asiatica","Nectarinia","asiatica","Nectariniidae","Passeriformes"
"4551","Nectarinia bifasciata","microrhyncha","Nectarinia","bifasciata","Nectariniidae","Passeriformes"
"4552","Nectarinia chalybea","gertrudis","Nectarinia","chalybea","Nectariniidae","Passeriformes"
