"","fullname","sciname","subspecies","genus","species","family","order"
"11418","Carpodacus mexicanus clementis","Carpodacus mexicanus","clementis","Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11419","Carpodacus mexicanus frontalis","Carpodacus mexicanus","frontalis","Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11420","Tauraco leucotis NA","Tauraco leucotis",NA,"Tauraco","leucotis","Musophagidae","Cuculiformes"
"11421","Uria aalge NA","Uria aalge",NA,"Uria","aalge","Alcidae","Charadriiformes"
"11422","Carpodacus mexicanus mcgregori","Carpodacus mexicanus","mcgregori","Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11423","Carpodacus mexicanus ruberrimus","Carpodacus mexicanus","ruberrimus","Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11424","Carpodacus mexicanus ssp","Carpodacus mexicanus","ssp","Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11425","Vermivora celata celata","Vermivora celata","celata","Vermivora","celata","Parulidae","Passeriformes"
"11426","Vermivora celata lutescens","Vermivora celata","lutescens","Vermivora","celata","Parulidae","Passeriformes"
"11427","Vermivora celata orestera","Vermivora celata","orestera","Vermivora","celata","Parulidae","Passeriformes"
"11428","Vermivora celata sordida","Vermivora celata","sordida","Vermivora","celata","Parulidae","Passeriformes"
"11429","Carpodacus mexicanus NA","Carpodacus mexicanus",NA,"Carpodacus","mexicanus","Fringillidae","Passeriformes"
"11430","Vermivora celata NA","Vermivora celata",NA,"Vermivora","celata","Parulidae","Passeriformes"
"11431","Aptenodytes patagonica ssp","Aptenodytes patagonica","ssp","Aptenodytes","patagonica","Spheniscidae","Sphenisciformes"
"11432","Campephilus imperialis NA","Campephilus imperialis",NA,"Campephilus","imperialis","Picidae","Piciformes"
"11433","Orthotomus nigriceps nigriceps","Orthotomus nigriceps","nigriceps","Orthotomus","nigriceps","Muscicapidae","Passeriformes"
"11434","Crypturellus variegatus variegatus","Crypturellus variegatus","variegatus","Crypturellus","variegatus","Tinamidae","Tinamiformes"
"11435","Crypturellus soui albigularis","Crypturellus soui","albigularis","Crypturellus","soui","Tinamidae","Tinamiformes"
"11436","Nothura maculosa major","Nothura maculosa","major","Nothura","maculosa","Tinamidae","Tinamiformes"
"11437","Crypturellus obsoletus obsoletus","Crypturellus obsoletus","obsoletus","Crypturellus","obsoletus","Tinamidae","Tinamiformes"
"11438","Eudromia elegans patagonica","Eudromia elegans","patagonica","Eudromia","elegans","Tinamidae","Tinamiformes"
"11439","Rhynchotus rufescens catingae","Rhynchotus rufescens","catingae","Rhynchotus","rufescens","Tinamidae","Tinamiformes"
"11440","Crypturellus soui modestus","Crypturellus soui","modestus","Crypturellus","soui","Tinamidae","Tinamiformes"
"11441","Tinamus guttatus NA","Tinamus guttatus",NA,"Tinamus","guttatus","Tinamidae","Tinamiformes"
"11442","Nothura boraquira NA","Nothura boraquira",NA,"Nothura","boraquira","Tinamidae","Tinamiformes"
"11443","Crypturellus soui mustelinus","Crypturellus soui","mustelinus","Crypturellus","soui","Tinamidae","Tinamiformes"
"11444","Crypturellus strigulosus strigulosus","Crypturellus strigulosus","strigulosus","Crypturellus","strigulosus","Tinamidae","Tinamiformes"
"11445","Crypturellus boucardi boucardi","Crypturellus boucardi","boucardi","Crypturellus","boucardi","Tinamidae","Tinamiformes"
"11446","Crypturellus soui panamensis","Crypturellus soui","panamensis","Crypturellus","soui","Tinamidae","Tinamiformes"
"11447","Crypturellus noctivagus noctivagus","Crypturellus noctivagus","noctivagus","Crypturellus","noctivagus","Tinamidae","Tinamiformes"
"11448","Crypturellus cinereus cinereus","Crypturellus cinereus","cinereus","Crypturellus","cinereus","Tinamidae","Tinamiformes"
