"","IOC_seq","emu_fullname","emu_order","emu_family","emu_genus","emu_species","emu_subspecies","new_fullname","new_order","new_family","new_genus","new_species","new_subspecies","namechange","familychange","orderchange"
"89",249,"Branta sandvicensis ","Anseriformes","Anatidae","Branta","sandvicensis","","Branta sandvicensis ","Anseriformes","Anatidae","Branta","sandvicensis","","No","No","No"
"90",250,"Branta canadensis ","Anseriformes","Anatidae","Branta","canadensis","","Branta canadensis ","Anseriformes","Anatidae","Branta","canadensis","","No","No","No"
"91",251,"Branta canadensis occidentalis","Anseriformes","Anatidae","Branta","canadensis","occidentalis","Branta canadensis occidentalis","Anseriformes","Anatidae","Branta","canadensis","occidentalis","No","No","No"
"92",253,"Branta canadensis maxima","Anseriformes","Anatidae","Branta","canadensis","maxima","Branta canadensis maxima","Anseriformes","Anatidae","Branta","canadensis","maxima","No","No","No"
"93",254,"Branta canadensis parvipes","Anseriformes","Anatidae","Branta","canadensis","parvipes","Branta canadensis parvipes","Anseriformes","Anatidae","Branta","canadensis","parvipes","No","No","No"
"94",255,"Branta canadensis moffitti","Anseriformes","Anatidae","Branta","canadensis","moffitti","Branta canadensis moffitti","Anseriformes","Anatidae","Branta","canadensis","moffitti","No","No","No"
"95",256,"Branta canadensis interior","Anseriformes","Anatidae","Branta","canadensis","interior","Branta canadensis interior","Anseriformes","Anatidae","Branta","canadensis","interior","No","No","No"
"96",257,"Branta canadensis canadensis","Anseriformes","Anatidae","Branta","canadensis","canadensis","Branta canadensis canadensis","Anseriformes","Anatidae","Branta","canadensis","canadensis","No","No","No"
"97",258,"Branta leucopsis ","Anseriformes","Anatidae","Branta","leucopsis","","Branta leucopsis ","Anseriformes","Anatidae","Branta","leucopsis","","No","No","No"
"98",260,"Branta canadensis leucopareia","Anseriformes","Anatidae","Branta","canadensis","leucopareia","Branta hutchinsii leucopareia","Anseriformes","Anatidae","Branta","hutchinsii","leucopareia","Yes","No","No"
"99",260,"Branta hutchinsii leucopareia","Anseriformes","Anatidae","Branta","hutchinsii","leucopareia","Branta hutchinsii leucopareia","Anseriformes","Anatidae","Branta","hutchinsii","leucopareia","No","No","No"
"100",262,"Branta canadensis minima","Anseriformes","Anatidae","Branta","canadensis","minima","Branta hutchinsii minima","Anseriformes","Anatidae","Branta","hutchinsii","minima","Yes","No","No"
"101",263,"Branta canadensis taverneri","Anseriformes","Anatidae","Branta","canadensis","taverneri","Branta hutchinsii taverneri","Anseriformes","Anatidae","Branta","hutchinsii","taverneri","Yes","No","No"
"102",264,"Branta canadensis hutchinsii","Anseriformes","Anatidae","Branta","canadensis","hutchinsii","Branta hutchinsii hutchinsii","Anseriformes","Anatidae","Branta","hutchinsii","hutchinsii","Yes","No","No"
"103",265,"Anser indicus ","Anseriformes","Anatidae","Anser","indicus","","Anser indicus ","Anseriformes","Anatidae","Anser","indicus","","No","No","No"
"104",266,"Chen canagica ","Anseriformes","Anatidae","Chen","canagica","","Anser canagicus","Anseriformes","Anatidae","Anser","canagicus","canagicus","Yes","No","No"
"105",267,"Chen rossii ","Anseriformes","Anatidae","Chen","rossii","","Anser rossii","Anseriformes","Anatidae","Anser","rossii","rossii","Yes","No","No"
"106",268,"Chen caerulescens ","Anseriformes","Anatidae","Chen","caerulescens","","Anser caerulescens","Anseriformes","Anatidae","Anser","caerulescens","caerulescens","Yes","No","No"
"107",269,"Chen caerulescens caerulescens","Anseriformes","Anatidae","Chen","caerulescens","caerulescens","Anser caerulescens caerulescens","Anseriformes","Anatidae","Anser","caerulescens","caerulescens","Yes","No","No"
"108",270,"Chen caerulescens atlanticus","Anseriformes","Anatidae","Chen","caerulescens","atlanticus","Anser caerulescens atlanticus","Anseriformes","Anatidae","Anser","caerulescens","atlanticus","Yes","No","No"
"109",271,"Anser anser ","Anseriformes","Anatidae","Anser","anser","","Anser anser ","Anseriformes","Anatidae","Anser","anser","","No","No","No"
"110",274,"Anser cygnoides ","Anseriformes","Anatidae","Anser","cygnoides","","Anser cygnoides ","Anseriformes","Anatidae","Anser","cygnoides","","No","No","No"
"111",280,"Anser brachyrhynchus ","Anseriformes","Anatidae","Anser","brachyrhynchus","","Anser brachyrhynchus ","Anseriformes","Anatidae","Anser","brachyrhynchus","","No","No","No"
"112",285,"Anser albifrons ","Anseriformes","Anatidae","Anser","albifrons","","Anser albifrons ","Anseriformes","Anatidae","Anser","albifrons","","No","No","No"
"113",287,"Anser albifrons albifrons","Anseriformes","Anatidae","Anser","albifrons","albifrons","Anser albifrons albifrons","Anseriformes","Anatidae","Anser","albifrons","albifrons","No","No","No"
"114",288,"Anser albifrons elgasi","Anseriformes","Anatidae","Anser","albifrons","elgasi","Anser albifrons elgasi","Anseriformes","Anatidae","Anser","albifrons","elgasi","No","No","No"
"115",289,"Anser albifrons gambelii","Anseriformes","Anatidae","Anser","albifrons","gambelii","Anser albifrons gambelli","Anseriformes","Anatidae","Anser","albifrons","gambelli","Yes","No","No"
"116",290,"Anser albifrons frontalis","Anseriformes","Anatidae","Anser","albifrons","frontalis","Anser albifrons gambelli","Anseriformes","Anatidae","Anser","albifrons","gambelli","Yes","No","No"
"117",292,"Anser erythropus ","Anseriformes","Anatidae","Anser","erythropus","","Anser erythropus ","Anseriformes","Anatidae","Anser","erythropus","","No","No","No"
"118",293,"Coscoroba coscoroba ","Anseriformes","Anatidae","Coscoroba","coscoroba","","Coscoroba coscoroba ","Anseriformes","Anatidae","Coscoroba","coscoroba","","No","No","No"
"119",294,"Cygnus atratus ","Anseriformes","Anatidae","Cygnus","atratus","","Cygnus atratus ","Anseriformes","Anatidae","Cygnus","atratus","","No","No","No"
"120",295,"Cygnus melanocoryphus ","Anseriformes","Anatidae","Cygnus","melanocoryphus","","Cygnus melancoryphus ","Anseriformes","Anatidae","Cygnus","melancoryphus","","Yes","No","No"
"121",296,"Cygnus olor ","Anseriformes","Anatidae","Cygnus","olor","","Cygnus olor ","Anseriformes","Anatidae","Cygnus","olor","","No","No","No"
"122",297,"Cygnus cygnus buccinator","Anseriformes","Anatidae","Cygnus","cygnus","buccinator","Cygnus buccinator","Anseriformes","Anatidae","Cygnus","buccinator","buccinator","Yes","No","No"
"123",298,"Cygnus columbianus ","Anseriformes","Anatidae","Cygnus","columbianus","","Cygnus columbianus ","Anseriformes","Anatidae","Cygnus","columbianus","","No","No","No"
"124",299,"Cygnus columbianus columbianus","Anseriformes","Anatidae","Cygnus","columbianus","columbianus","Cygnus columbianus columbianus","Anseriformes","Anatidae","Cygnus","columbianus","columbianus","No","No","No"
"125",301,"Cygnus bewickii ","Anseriformes","Anatidae","Cygnus","bewickii","","Cygnus columbianus bewickii","Anseriformes","Anatidae","Cygnus","columbianus","bewickii","Yes","No","No"
"126",301,"Cygnus columbianus bewickii","Anseriformes","Anatidae","Cygnus","columbianus","bewickii","Cygnus columbianus bewickii","Anseriformes","Anatidae","Cygnus","columbianus","bewickii","No","No","No"
"127",302,"Cygnus cygnus ","Anseriformes","Anatidae","Cygnus","cygnus","","Cygnus cygnus ","Anseriformes","Anatidae","Cygnus","cygnus","","No","No","No"
"128",303,"Stictonetta naevosa ","Anseriformes","Anatidae","Stictonetta","naevosa","","Stictonetta naevosa ","Anseriformes","Anatidae","Stictonetta","naevosa","","No","No","No"
"129",308,"Tachyeres pteneres ","Anseriformes","Anatidae","Tachyeres","pteneres","","Tachyeres pteneres ","Anseriformes","Anatidae","Tachyeres","pteneres","","No","No","No"
"130",309,"Tachyeres brachypterus ","Anseriformes","Anatidae","Tachyeres","brachypterus","","Tachyeres brachypterus ","Anseriformes","Anatidae","Tachyeres","brachypterus","","No","No","No"
"131",311,"Merganetta armata ","Anseriformes","Anatidae","Merganetta","armata","","Merganetta armata ","Anseriformes","Anatidae","Merganetta","armata","","No","No","No"
"132",312,"Merganetta armata columbiana","Anseriformes","Anatidae","Merganetta","armata","columbiana","Merganetta armata colombiana","Anseriformes","Anatidae","Merganetta","armata","colombiana","Yes","No","No"
"133",313,"Merganetta armata leucogenis","Anseriformes","Anatidae","Merganetta","armata","leucogenis","Merganetta armata leucogenis","Anseriformes","Anatidae","Merganetta","armata","leucogenis","No","No","No"
"134",317,"Merganetta armata armata","Anseriformes","Anatidae","Merganetta","armata","armata","Merganetta armata armata","Anseriformes","Anatidae","Merganetta","armata","armata","No","No","No"
"135",318,"Plectropterus gambensis ","Anseriformes","Anatidae","Plectropterus","gambensis","","Plectropterus gambensis ","Anseriformes","Anatidae","Plectropterus","gambensis","","No","No","No"
"136",319,"Plectropterus gambensis gambensis","Anseriformes","Anatidae","Plectropterus","gambensis","gambensis","Plectropterus gambensis gambensis","Anseriformes","Anatidae","Plectropterus","gambensis","gambensis","No","No","No"
"137",321,"Sarkidiornis melanotos sylvatica","Anseriformes","Anatidae","Sarkidiornis","melanotos","sylvatica","Sarkidiornis sylvicola","Anseriformes","Anatidae","Sarkidiornis","sylvicola","sylvicola","Yes","No","No"
"138",323,"Sarkidiornis melanotos ","Anseriformes","Anatidae","Sarkidiornis","melanotos","","Sarkidiornis melanotos ","Anseriformes","Anatidae","Sarkidiornis","melanotos","","No","No","No"
"139",324,"Sarkidiornis melanotos melanotos","Anseriformes","Anatidae","Sarkidiornis","melanotos","melanotos","Sarkidiornis melanotos ","Anseriformes","Anatidae","Sarkidiornis","melanotos","","Yes","No","No"
"140",325,"Cyanochen cyanopterus ","Anseriformes","Anatidae","Cyanochen","cyanopterus","","Cyanochen cyanoptera ","Anseriformes","Anatidae","Cyanochen","cyanoptera","","Yes","No","No"
"141",326,"Alopochen aegyptiacus ","Anseriformes","Anatidae","Alopochen","aegyptiacus","","Alopochen aegyptiaca","Anseriformes","Anatidae","Alopochen","aegyptiaca","aegyptiaca","Yes","No","No"
"142",329,"Neochen jubatus ","Anseriformes","Anatidae","Neochen","jubatus","","Neochen jubata","Anseriformes","Anatidae","Neochen","jubata","jubata","Yes","No","No"
"143",330,"Chloephaga melanoptera ","Anseriformes","Anatidae","Chloephaga","melanoptera","","Oressochen melanopterus ","Anseriformes","Anatidae","Oressochen","melanopterus","","Yes","No","No"
"144",331,"Chloephaga picta ","Anseriformes","Anatidae","Chloephaga","picta","","Chloephaga picta ","Anseriformes","Anatidae","Chloephaga","picta","","No","No","No"
