ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Procellariiformes,Procellariidae,Pterodroma,pycrofti,Procellariiformes,Procellariidae,Pterodroma,pycrofti,
Procellariiformes,Procellariidae,Pterodroma,macgillivrayi,Procellariiformes,Procellariidae,Pseudobulweria,macgillivrayi,
Procellariiformes,Procellariidae,Haloboena,caerulea,Procellariiformes,Procellariidae,Haloboena,caerulea,
Procellariiformes,Procellariidae,Pachyptila,vittata,Procellariiformes,Procellariidae,Pachyptila,vittata,
Procellariiformes,Procellariidae,Pachyptila,salvini,Procellariiformes,Procellariidae,Pachyptila,salvini,
Procellariiformes,Procellariidae,Pachyptila,desolata,Procellariiformes,Procellariidae,Pachyptila,desolata,
Procellariiformes,Procellariidae,Pachyptila,belcheri,Procellariiformes,Procellariidae,Pachyptila,belcheri,
Procellariiformes,Procellariidae,Pachyptila,turtur,Procellariiformes,Procellariidae,Pachyptila,turtur,
Procellariiformes,Procellariidae,Pachyptila,crassirostris,Procellariiformes,Procellariidae,Pachyptila,crassirostris,
Procellariiformes,Procellariidae,Bulweria,bulwerii,Procellariiformes,Procellariidae,Bulweria,bulwerii,
Procellariiformes,Procellariidae,Bulweria,fallax,Procellariiformes,Procellariidae,Bulweria,fallax,
Procellariiformes,Procellariidae,Procellaria,cinerea,Procellariiformes,Procellariidae,Procellaria,cinerea,
Procellariiformes,Procellariidae,Procellaria,aequinoctialis,Procellariiformes,Procellariidae,Procellaria,aequinoctialis,
Procellariiformes,Procellariidae,Procellaria,aequinoctialis,Procellariiformes,Procellariidae,Procellaria,conspicillata,
Procellariiformes,Procellariidae,Procellaria,parkinsoni,Procellariiformes,Procellariidae,Procellaria,parkinsoni,
Procellariiformes,Procellariidae,Procellaria,westlandica,Procellariiformes,Procellariidae,Procellaria,westlandica,
Procellariiformes,Procellariidae,Calonectris,leucomelas,Procellariiformes,Procellariidae,Calonectris,leucomelas,
Procellariiformes,Procellariidae,Calonectris,diomedea,Procellariiformes,Procellariidae,Calonectris,diomedea,
Procellariiformes,Procellariidae,Calonectris,diomedea,Procellariiformes,Procellariidae,Calonectris,borealis,
Procellariiformes,Procellariidae,Calonectris,diomedea,Procellariiformes,Procellariidae,Calonectris,edwardsii,
Procellariiformes,Procellariidae,Puffinus,creatopus,Procellariiformes,Procellariidae,Ardenna,creatopus,
Procellariiformes,Procellariidae,Puffinus,carneipes,Procellariiformes,Procellariidae,Ardenna,carneipes,
Procellariiformes,Procellariidae,Puffinus,gravis,Procellariiformes,Procellariidae,Ardenna,gravis,
Procellariiformes,Procellariidae,Puffinus,pacificus,Procellariiformes,Procellariidae,Ardenna,pacifica,
Procellariiformes,Procellariidae,Puffinus,bulleri,Procellariiformes,Procellariidae,Ardenna,bulleri,
Procellariiformes,Procellariidae,Puffinus,griseus,Procellariiformes,Procellariidae,Ardenna,griseus,
Procellariiformes,Procellariidae,Puffinus,tenuirostris,Procellariiformes,Procellariidae,Ardenna,tenuirostris,
Procellariiformes,Procellariidae,Puffinus,heinrothi,Procellariiformes,Procellariidae,Puffinus,heinrothi,
Procellariiformes,Procellariidae,Puffinus,nativitatis,Procellariiformes,Procellariidae,Puffinus,nativitatis,
Procellariiformes,Procellariidae,Puffinus,puffinus,Procellariiformes,Procellariidae,Puffinus,puffinus,
Procellariiformes,Procellariidae,Puffinus,puffinus,Procellariiformes,Procellariidae,Puffinus,yelkouan,
Procellariiformes,Procellariidae,Puffinus,gavia,Procellariiformes,Procellariidae,Puffinus,gavia,
Procellariiformes,Procellariidae,Puffinus,huttoni,Procellariiformes,Procellariidae,Puffinus,huttoni,
Procellariiformes,Procellariidae,Puffinus,opisthomelas,Procellariiformes,Procellariidae,Puffinus,opisthomelas,
Procellariiformes,Procellariidae,Puffinus,,Procellariiformes,Procellariidae,Puffinus,bryani,
Procellariiformes,Procellariidae,Puffinus,auricularis,Procellariiformes,Procellariidae,Puffinus,auricularis,
Procellariiformes,Procellariidae,Puffinus,assimilis,Procellariiformes,Procellariidae,Puffinus,assimilis,
Procellariiformes,Procellariidae,Puffinus,lherminieri,Procellariiformes,Procellariidae,Puffinus,subalaris,
Procellariiformes,Procellariidae,Puffinus,lherminieri,Procellariiformes,Procellariidae,Puffinus,bailloni,
Procellariiformes,Procellariidae,Puffinus,lherminieri,Procellariiformes,Procellariidae,Puffinus,lherminieri,
Procellariiformes,Hydrobatidae,Oceanites,oceanicus,Procellariiformes,Oceanitidae,Oceanites,oceanicus,
Procellariiformes,Hydrobatidae,Oceanites,gracilis,Procellariiformes,Oceanitidae,Oceanites,gracilis,
Procellariiformes,Hydrobatidae,Garrodia,nereis,Procellariiformes,Oceanitidae,Garrodia,nereis,
